type	name	value	zone	address	bytes	access	other
Factory	DMAMUX0_CHCFG0	---	Memory	0x40021000	1	readWrite	strong	
Factory	DMAMUX0_CHCFG1	---	Memory	0x40021001	1	readWrite	strong	
Factory	DMAMUX0_CHCFG2	---	Memory	0x40021002	1	readWrite	strong	
Factory	DMAMUX0_CHCFG3	---	Memory	0x40021003	1	readWrite	strong	
Factory	I2S0_TCSR	---	Memory	0x4002f000	4	readWrite	strong	
Factory	I2S0_TCR2	---	Memory	0x4002f008	4	readWrite	strong	
Factory	I2S0_TCR3	---	Memory	0x4002f00c	4	readWrite	strong	
Factory	I2S0_TCR4	---	Memory	0x4002f010	4	readWrite	strong	
Factory	I2S0_TCR5	---	Memory	0x4002f014	4	readWrite	strong	
Factory	I2S0_TDR	---	Memory	0x4002f020	4	writeOnly	strong	
Factory	I2S0_TMR	---	Memory	0x4002f060	4	readWrite	strong	
Factory	I2S0_RCSR	---	Memory	0x4002f080	4	readWrite	strong	
Factory	I2S0_RCR2	---	Memory	0x4002f088	4	readWrite	strong	
Factory	I2S0_RCR3	---	Memory	0x4002f08c	4	readWrite	strong	
Factory	I2S0_RCR4	---	Memory	0x4002f090	4	readWrite	strong	
Factory	I2S0_RCR5	---	Memory	0x4002f094	4	readWrite	strong	
Factory	I2S0_RDR	---	Memory	0x4002f0a0	4	readOnly	strong	
Factory	I2S0_RMR	---	Memory	0x4002f0e0	4	readWrite	strong	
Factory	I2S0_MCR	---	Memory	0x4002f100	4	readWrite	strong	
Factory	I2S0_MDR	---	Memory	0x4002f104	4	readWrite	strong	
Factory	PIT_MCR	---	Memory	0x40037000	4	readWrite	strong	
Factory	PIT_LTMR64H	---	Memory	0x400370e0	4	readOnly	strong	
Factory	PIT_LTMR64L	---	Memory	0x400370e4	4	readOnly	strong	
Factory	PIT_LDVAL0	---	Memory	0x40037100	4	readWrite	strong	
Factory	PIT_LDVAL1	---	Memory	0x40037110	4	readWrite	strong	
Factory	PIT_CVAL0	---	Memory	0x40037104	4	readOnly	strong	
Factory	PIT_CVAL1	---	Memory	0x40037114	4	readOnly	strong	
Factory	PIT_TCTRL0	---	Memory	0x40037108	4	readWrite	strong	
Factory	PIT_TCTRL1	---	Memory	0x40037118	4	readWrite	strong	
Factory	PIT_TFLG0	---	Memory	0x4003710c	4	readWrite	strong	
Factory	PIT_TFLG1	---	Memory	0x4003711c	4	readWrite	strong	
Factory	TPM0_SC	---	Memory	0x40038000	4	readWrite	strong	
Factory	TPM0_CNT	---	Memory	0x40038004	4	readWrite	strong	
Factory	TPM0_MOD	---	Memory	0x40038008	4	readWrite	strong	
Factory	TPM0_C0SC	---	Memory	0x4003800c	4	readWrite	strong	
Factory	TPM0_C1SC	---	Memory	0x40038014	4	readWrite	strong	
Factory	TPM0_C2SC	---	Memory	0x4003801c	4	readWrite	strong	
Factory	TPM0_C3SC	---	Memory	0x40038024	4	readWrite	strong	
Factory	TPM0_C4SC	---	Memory	0x4003802c	4	readWrite	strong	
Factory	TPM0_C5SC	---	Memory	0x40038034	4	readWrite	strong	
Factory	TPM0_C0V	---	Memory	0x40038010	4	readWrite	strong	
Factory	TPM0_C1V	---	Memory	0x40038018	4	readWrite	strong	
Factory	TPM0_C2V	---	Memory	0x40038020	4	readWrite	strong	
Factory	TPM0_C3V	---	Memory	0x40038028	4	readWrite	strong	
Factory	TPM0_C4V	---	Memory	0x40038030	4	readWrite	strong	
Factory	TPM0_C5V	---	Memory	0x40038038	4	readWrite	strong	
Factory	TPM0_STATUS	---	Memory	0x40038050	4	readWrite	strong	
Factory	TPM0_CONF	---	Memory	0x40038084	4	readWrite	strong	
Factory	TPM1_SC	---	Memory	0x40039000	4	readWrite	strong	
Factory	TPM1_CNT	---	Memory	0x40039004	4	readWrite	strong	
Factory	TPM1_MOD	---	Memory	0x40039008	4	readWrite	strong	
Factory	TPM1_C0SC	---	Memory	0x4003900c	4	readWrite	strong	
Factory	TPM1_C1SC	---	Memory	0x40039014	4	readWrite	strong	
Factory	TPM1_C0V	---	Memory	0x40039010	4	readWrite	strong	
Factory	TPM1_C1V	---	Memory	0x40039018	4	readWrite	strong	
Factory	TPM1_STATUS	---	Memory	0x40039050	4	readWrite	strong	
Factory	TPM1_CONF	---	Memory	0x40039084	4	readWrite	strong	
Factory	TPM2_SC	---	Memory	0x4003a000	4	readWrite	strong	
Factory	TPM2_CNT	---	Memory	0x4003a004	4	readWrite	strong	
Factory	TPM2_MOD	---	Memory	0x4003a008	4	readWrite	strong	
Factory	TPM2_C0SC	---	Memory	0x4003a00c	4	readWrite	strong	
Factory	TPM2_C1SC	---	Memory	0x4003a014	4	readWrite	strong	
Factory	TPM2_C0V	---	Memory	0x4003a010	4	readWrite	strong	
Factory	TPM2_C1V	---	Memory	0x4003a018	4	readWrite	strong	
Factory	TPM2_STATUS	---	Memory	0x4003a050	4	readWrite	strong	
Factory	TPM2_CONF	---	Memory	0x4003a084	4	readWrite	strong	
Factory	ADC0_SC1A	---	Memory	0x4003b000	4	readWrite	strong	
Factory	ADC0_SC1B	---	Memory	0x4003b004	4	readWrite	strong	
Factory	ADC0_CFG1	---	Memory	0x4003b008	4	readWrite	strong	
Factory	ADC0_CFG2	---	Memory	0x4003b00c	4	readWrite	strong	
Factory	ADC0_RA	---	Memory	0x4003b010	4	readOnly	strong	
Factory	ADC0_RB	---	Memory	0x4003b014	4	readOnly	strong	
Factory	ADC0_CV1	---	Memory	0x4003b018	4	readWrite	strong	
Factory	ADC0_CV2	---	Memory	0x4003b01c	4	readWrite	strong	
Factory	ADC0_SC2	---	Memory	0x4003b020	4	readWrite	strong	
Factory	ADC0_SC3	---	Memory	0x4003b024	4	readWrite	strong	
Factory	ADC0_OFS	---	Memory	0x4003b028	4	readWrite	strong	
Factory	ADC0_PG	---	Memory	0x4003b02c	4	readWrite	strong	
Factory	ADC0_MG	---	Memory	0x4003b030	4	readWrite	strong	
Factory	ADC0_CLPD	---	Memory	0x4003b034	4	readWrite	strong	
Factory	ADC0_CLPS	---	Memory	0x4003b038	4	readWrite	strong	
Factory	ADC0_CLP4	---	Memory	0x4003b03c	4	readWrite	strong	
Factory	ADC0_CLP3	---	Memory	0x4003b040	4	readWrite	strong	
Factory	ADC0_CLP2	---	Memory	0x4003b044	4	readWrite	strong	
Factory	ADC0_CLP1	---	Memory	0x4003b048	4	readWrite	strong	
Factory	ADC0_CLP0	---	Memory	0x4003b04c	4	readWrite	strong	
Factory	ADC0_CLMD	---	Memory	0x4003b054	4	readWrite	strong	
Factory	ADC0_CLMS	---	Memory	0x4003b058	4	readWrite	strong	
Factory	ADC0_CLM4	---	Memory	0x4003b05c	4	readWrite	strong	
Factory	ADC0_CLM3	---	Memory	0x4003b060	4	readWrite	strong	
Factory	ADC0_CLM2	---	Memory	0x4003b064	4	readWrite	strong	
Factory	ADC0_CLM1	---	Memory	0x4003b068	4	readWrite	strong	
Factory	ADC0_CLM0	---	Memory	0x4003b06c	4	readWrite	strong	
Factory	RTC_TSR	---	Memory	0x4003d000	4	readWrite	strong	
Factory	RTC_TPR	---	Memory	0x4003d004	4	readWrite	strong	
Factory	RTC_TAR	---	Memory	0x4003d008	4	readWrite	strong	
Factory	RTC_TCR	---	Memory	0x4003d00c	4	readWrite	strong	
Factory	RTC_CR	---	Memory	0x4003d010	4	readWrite	strong	
Factory	RTC_SR	---	Memory	0x4003d014	4	readWrite	strong	
Factory	RTC_LR	---	Memory	0x4003d018	4	readWrite	strong	
Factory	RTC_IER	---	Memory	0x4003d01c	4	readWrite	strong	
Factory	DAC0_DAT0L	---	Memory	0x4003f000	1	readWrite	strong	
Factory	DAC0_DAT1L	---	Memory	0x4003f002	1	readWrite	strong	
Factory	DAC0_DAT0H	---	Memory	0x4003f001	1	readWrite	strong	
Factory	DAC0_DAT1H	---	Memory	0x4003f003	1	readWrite	strong	
Factory	DAC0_SR	---	Memory	0x4003f020	1	readWrite	strong	
Factory	DAC0_C0	---	Memory	0x4003f021	1	readWrite	strong	
Factory	DAC0_C1	---	Memory	0x4003f022	1	readWrite	strong	
Factory	DAC0_C2	---	Memory	0x4003f023	1	readWrite	strong	
Factory	LPTMR0_CSR	---	Memory	0x40040000	4	readWrite	strong	
Factory	LPTMR0_PSR	---	Memory	0x40040004	4	readWrite	strong	
Factory	LPTMR0_CMR	---	Memory	0x40040008	4	readWrite	strong	
Factory	LPTMR0_CNR	---	Memory	0x4004000c	4	readOnly	strong	
Factory	TSI0_GENCS	---	Memory	0x40045000	4	readWrite	strong	
Factory	TSI0_DATA	---	Memory	0x40045004	4	readWrite	strong	
Factory	TSI0_TSHD	---	Memory	0x40045008	4	readWrite	strong	
Factory	SIM_SOPT1	0x80000010	Memory	0x40047000	4	readWrite	strong	
Factory	SIM_SOPT1CFG	0x0	Memory	0x40047004	4	readWrite	strong	
Factory	SIM_SOPT2	0x0	Memory	0x40048004	4	readWrite	strong	
Factory	SIM_SOPT4	0x0	Memory	0x4004800c	4	readWrite	strong	
Factory	SIM_SOPT5	0x0	Memory	0x40048010	4	readWrite	strong	
Factory	SIM_SOPT7	0x0	Memory	0x40048018	4	readWrite	strong	
Factory	SIM_SDID	0x46161588	Memory	0x40048024	4	readOnly	strong	
Factory	SIM_SCGC4	0xf0000030	Memory	0x40048034	4	readWrite	strong	
Factory	SIM_SCGC5	0x3182	Memory	0x40048038	4	readWrite	strong	
Factory	SIM_SCGC6	0x1	Memory	0x4004803c	4	readWrite	strong	
Factory	SIM_SCGC7	0x100	Memory	0x40048040	4	readWrite	strong	
Factory	SIM_CLKDIV1	0x10000	Memory	0x40048044	4	readWrite	strong	
Factory	SIM_FCFG1	0x9000000	Memory	0x4004804c	4	readWrite	strong	
Factory	SIM_FCFG2	0x10900000	Memory	0x40048050	4	readOnly	strong	
Factory	SIM_UIDMH	0x24	Memory	0x40048058	4	readOnly	strong	
Factory	SIM_UIDML	0x406005	Memory	0x4004805c	4	readOnly	strong	
Factory	SIM_UIDL	0x38104e45	Memory	0x40048060	4	readOnly	strong	
Factory	SIM_COPC	0x0	Memory	0x40048100	4	readWrite	strong	
Factory	SIM_SRVCOP	---	Memory	0x40048104	4	writeOnly	strong	
Factory	PORTA_PCR0	---	Memory	0x40049000	4	readWrite	strong	
Factory	PORTA_PCR1	---	Memory	0x40049004	4	readWrite	strong	
Factory	PORTA_PCR2	---	Memory	0x40049008	4	readWrite	strong	
Factory	PORTA_PCR3	---	Memory	0x4004900c	4	readWrite	strong	
Factory	PORTA_PCR4	---	Memory	0x40049010	4	readWrite	strong	
Factory	PORTA_PCR5	---	Memory	0x40049014	4	readWrite	strong	
Factory	PORTA_PCR6	---	Memory	0x40049018	4	readWrite	strong	
Factory	PORTA_PCR7	---	Memory	0x4004901c	4	readWrite	strong	
Factory	PORTA_PCR8	---	Memory	0x40049020	4	readWrite	strong	
Factory	PORTA_PCR9	---	Memory	0x40049024	4	readWrite	strong	
Factory	PORTA_PCR10	---	Memory	0x40049028	4	readWrite	strong	
Factory	PORTA_PCR11	---	Memory	0x4004902c	4	readWrite	strong	
Factory	PORTA_PCR12	---	Memory	0x40049030	4	readWrite	strong	
Factory	PORTA_PCR13	---	Memory	0x40049034	4	readWrite	strong	
Factory	PORTA_PCR14	---	Memory	0x40049038	4	readWrite	strong	
