type	name	value	zone	address	bytes	access	other
Factory	PORTE_PCR5	0x5	Memory	0x4004d014	4	readWrite	strong	
Factory	PORTE_PCR6	0x5	Memory	0x4004d018	4	readWrite	strong	
Factory	PORTE_PCR7	0x0	Memory	0x4004d01c	4	readWrite	strong	
Factory	PORTE_PCR8	0x0	Memory	0x4004d020	4	readWrite	strong	
Factory	PORTE_PCR9	0x0	Memory	0x4004d024	4	readWrite	strong	
Factory	PORTE_PCR10	0x0	Memory	0x4004d028	4	readWrite	strong	
Factory	PORTE_PCR11	0x0	Memory	0x4004d02c	4	readWrite	strong	
Factory	PORTE_PCR12	0x0	Memory	0x4004d030	4	readWrite	strong	
Factory	PORTE_PCR13	0x0	Memory	0x4004d034	4	readWrite	strong	
Factory	PORTE_PCR14	0x0	Memory	0x4004d038	4	readWrite	strong	
Factory	PORTE_PCR15	0x0	Memory	0x4004d03c	4	readWrite	strong	
Factory	PORTE_PCR16	0x1	Memory	0x4004d040	4	readWrite	strong	
Factory	PORTE_PCR17	0x1	Memory	0x4004d044	4	readWrite	strong	
Factory	PORTE_PCR18	0x1	Memory	0x4004d048	4	readWrite	strong	
Factory	PORTE_PCR19	0x1	Memory	0x4004d04c	4	readWrite	strong	
Factory	PORTE_PCR20	0x5	Memory	0x4004d050	4	readWrite	strong	
Factory	PORTE_PCR21	0x5	Memory	0x4004d054	4	readWrite	strong	
Factory	PORTE_PCR22	0x5	Memory	0x4004d058	4	readWrite	strong	
Factory	PORTE_PCR23	0x5	Memory	0x4004d05c	4	readWrite	strong	
Factory	PORTE_PCR24	0x5	Memory	0x4004d060	4	readWrite	strong	
Factory	PORTE_PCR25	0x5	Memory	0x4004d064	4	readWrite	strong	
Factory	PORTE_PCR26	0x5	Memory	0x4004d068	4	readWrite	strong	
Factory	PORTE_PCR27	0x0	Memory	0x4004d06c	4	readWrite	strong	
Factory	PORTE_PCR28	0x0	Memory	0x4004d070	4	readWrite	strong	
Factory	PORTE_PCR29	0x105	Memory	0x4004d074	4	readWrite	strong	
Factory	PORTE_PCR30	0x5	Memory	0x4004d078	4	readWrite	strong	
Factory	PORTE_PCR31	0x5	Memory	0x4004d07c	4	readWrite	strong	
Factory	PORTE_GPCLR	0x0	Memory	0x4004d080	4	writeOnly	strong	
Factory	PORTE_GPCHR	0x0	Memory	0x4004d084	4	writeOnly	strong	
Factory	PORTE_ISFR	0x0	Memory	0x4004d0a0	4	readWrite	strong	
Factory	LCD_GCR	---	Memory	0x40053000	4	readWrite	strong	
Factory	LCD_AR	---	Memory	0x40053004	4	readWrite	strong	
Factory	LCD_FDCR	---	Memory	0x40053008	4	readWrite	strong	
Factory	LCD_FDSR	---	Memory	0x4005300c	4	readWrite	strong	
Factory	LCD_PENL	---	Memory	0x40053010	4	readWrite	strong	
Factory	LCD_PENH	---	Memory	0x40053014	4	readWrite	strong	
Factory	LCD_BPENL	---	Memory	0x40053018	4	readWrite	strong	
Factory	LCD_BPENH	---	Memory	0x4005301c	4	readWrite	strong	
Factory	LCD_WF3TO0_LCD	---	Memory	0x40053020	4	readWrite	strong	
Factory	LCD_WF0_LCD	---	Memory	0x40053020	1	readWrite	strong	
Factory	LCD_WF1	---	Memory	0x40053021	1	readWrite	strong	
Factory	LCD_WF2	---	Memory	0x40053022	1	readWrite	strong	
Factory	LCD_WF3	---	Memory	0x40053023	1	readWrite	strong	
Factory	LCD_WF4_LCD	---	Memory	0x40053024	1	readWrite	strong	
Factory	LCD_WF7TO4_LCD	---	Memory	0x40053024	4	readWrite	strong	
Factory	LCD_WF5	---	Memory	0x40053025	1	readWrite	strong	
Factory	LCD_WF6	---	Memory	0x40053026	1	readWrite	strong	
Factory	LCD_WF7	---	Memory	0x40053027	1	readWrite	strong	
Factory	LCD_WF11TO8_LCD	---	Memory	0x40053028	4	readWrite	strong	
Factory	LCD_WF8_LCD	---	Memory	0x40053028	1	readWrite	strong	
Factory	LCD_WF9	---	Memory	0x40053029	1	readWrite	strong	
Factory	LCD_WF10	---	Memory	0x4005302a	1	readWrite	strong	
Factory	LCD_WF11	---	Memory	0x4005302b	1	readWrite	strong	
Factory	LCD_WF15TO12_LCD	---	Memory	0x4005302c	4	readWrite	strong	
Factory	LCD_WF12_LCD	---	Memory	0x4005302c	1	readWrite	strong	
Factory	LCD_WF13	---	Memory	0x4005302d	1	readWrite	strong	
Factory	LCD_WF14	---	Memory	0x4005302e	1	readWrite	strong	
Factory	LCD_WF15	---	Memory	0x4005302f	1	readWrite	strong	
Factory	LCD_WF16_LCD	---	Memory	0x40053030	1	readWrite	strong	
Factory	LCD_WF19TO16_LCD	---	Memory	0x40053030	4	readWrite	strong	
Factory	LCD_WF17	---	Memory	0x40053031	1	readWrite	strong	
Factory	LCD_WF18	---	Memory	0x40053032	1	readWrite	strong	
Factory	LCD_WF19	---	Memory	0x40053033	1	readWrite	strong	
Factory	LCD_WF20_LCD	---	Memory	0x40053034	1	readWrite	strong	
Factory	LCD_WF23TO20_LCD	---	Memory	0x40053034	4	readWrite	strong	
Factory	LCD_WF21	---	Memory	0x40053035	1	readWrite	strong	
Factory	LCD_WF22	---	Memory	0x40053036	1	readWrite	strong	
Factory	LCD_WF23	---	Memory	0x40053037	1	readWrite	strong	
Factory	LCD_WF27TO24_LCD	---	Memory	0x40053038	4	readWrite	strong	
Factory	LCD_WF24_LCD	---	Memory	0x40053038	1	readWrite	strong	
Factory	LCD_WF25	---	Memory	0x40053039	1	readWrite	strong	
Factory	LCD_WF26	---	Memory	0x4005303a	1	readWrite	strong	
Factory	LCD_WF27	---	Memory	0x4005303b	1	readWrite	strong	
Factory	LCD_WF31TO28_LCD	---	Memory	0x4005303c	4	readWrite	strong	
Factory	LCD_WF28_LCD	---	Memory	0x4005303c	1	readWrite	strong	
Factory	LCD_WF29	---	Memory	0x4005303d	1	readWrite	strong	
Factory	LCD_WF30	---	Memory	0x4005303e	1	readWrite	strong	
Factory	LCD_WF31	---	Memory	0x4005303f	1	readWrite	strong	
Factory	LCD_WF32_LCD	---	Memory	0x40053040	1	readWrite	strong	
Factory	LCD_WF35TO32_LCD	---	Memory	0x40053040	4	readWrite	strong	
Factory	LCD_WF33	---	Memory	0x40053041	1	readWrite	strong	
Factory	LCD_WF34	---	Memory	0x40053042	1	readWrite	strong	
Factory	LCD_WF35	---	Memory	0x40053043	1	readWrite	strong	
Factory	LCD_WF39TO36_LCD	---	Memory	0x40053044	4	readWrite	strong	
Factory	LCD_WF36_LCD	---	Memory	0x40053044	1	readWrite	strong	
Factory	LCD_WF37	---	Memory	0x40053045	1	readWrite	strong	
Factory	LCD_WF38	---	Memory	0x40053046	1	readWrite	strong	
Factory	LCD_WF39	---	Memory	0x40053047	1	readWrite	strong	
Factory	LCD_WF43TO40_LCD	---	Memory	0x40053048	4	readWrite	strong	
Factory	LCD_WF40_LCD	---	Memory	0x40053048	1	readWrite	strong	
Factory	LCD_WF41	---	Memory	0x40053049	1	readWrite	strong	
Factory	LCD_WF42	---	Memory	0x4005304a	1	readWrite	strong	
Factory	LCD_WF43	---	Memory	0x4005304b	1	readWrite	strong	
Factory	LCD_WF44_LCD	---	Memory	0x4005304c	1	readWrite	strong	
Factory	LCD_WF47TO44_LCD	---	Memory	0x4005304c	4	readWrite	strong	
Factory	LCD_WF45	---	Memory	0x4005304d	1	readWrite	strong	
Factory	LCD_WF46	---	Memory	0x4005304e	1	readWrite	strong	
Factory	LCD_WF47	---	Memory	0x4005304f	1	readWrite	strong	
Factory	LCD_WF48_LCD	---	Memory	0x40053050	1	readWrite	strong	
Factory	LCD_WF51TO48_LCD	---	Memory	0x40053050	4	readWrite	strong	
Factory	LCD_WF49	---	Memory	0x40053051	1	readWrite	strong	
Factory	LCD_WF50	---	Memory	0x40053052	1	readWrite	strong	
Factory	LCD_WF51	---	Memory	0x40053053	1	readWrite	strong	
Factory	LCD_WF55TO52_LCD	---	Memory	0x40053054	4	readWrite	strong	
Factory	LCD_WF52_LCD	---	Memory	0x40053054	1	readWrite	strong	
Factory	LCD_WF53	---	Memory	0x40053055	1	readWrite	strong	
Factory	LCD_WF54	---	Memory	0x40053056	1	readWrite	strong	
Factory	LCD_WF55	---	Memory	0x40053057	1	readWrite	strong	
Factory	LCD_WF56_LCD	---	Memory	0x40053058	1	readWrite	strong	
Factory	LCD_WF59TO56_LCD	---	Memory	0x40053058	4	readWrite	strong	
Factory	LCD_WF57	---	Memory	0x40053059	1	readWrite	strong	
Factory	LCD_WF58	---	Memory	0x4005305a	1	readWrite	strong	
Factory	LCD_WF59	---	Memory	0x4005305b	1	readWrite	strong	
Factory	LCD_WF60_LCD	---	Memory	0x4005305c	1	readWrite	strong	
Factory	LCD_WF63TO60_LCD	---	Memory	0x4005305c	4	readWrite	strong	
Factory	LCD_WF61	---	Memory	0x4005305d	1	readWrite	strong	
Factory	LCD_WF62	---	Memory	0x4005305e	1	readWrite	strong	
Factory	LCD_WF63	---	Memory	0x4005305f	1	readWrite	strong	
Factory	MCG_C1	0x4	Memory	0x40064000	1	readWrite	strong	
Factory	MCG_C2	0xc0	Memory	0x40064001	1	readWrite	strong	
Factory	MCG_C3	0x75	Memory	0x40064002	1	readWrite	strong	
Factory	MCG_C4	0xc	Memory	0x40064003	1	readWrite	strong	
Factory	MCG_C5	0x0	Memory	0x40064004	1	readWrite	strong	
Factory	MCG_C6	0x0	Memory	0x40064005	1	readWrite	strong	
Factory	MCG_S	0x10	Memory	0x40064006	1	readOnly	strong	
Factory	MCG_SC	0x2	Memory	0x40064008	1	readWrite	strong	
Factory	MCG_ATCVH	0x0	Memory	0x4006400a	1	readWrite	strong	
Factory	MCG_ATCVL	0x0	Memory	0x4006400b	1	readWrite	strong	
Factory	MCG_C7	0x0	Memory	0x4006400c	1	readOnly	strong	
Factory	MCG_C8	0x80	Memory	0x4006400d	1	readWrite	strong	
Factory	MCG_C9	0x0	Memory	0x4006400e	1	readOnly	strong	
Factory	MCG_C10	0x0	Memory	0x4006400f	1	readOnly	strong	
Factory	OSC0_CR	0x0	Memory	0x40065000	1	readWrite	strong	
Factory	I2C0_A1	---	Memory	0x40066000	1	readWrite	strong	
Factory	I2C0_F	---	Memory	0x40066001	1	readWrite	strong	
Factory	I2C0_C1	---	Memory	0x40066002	1	readWrite	strong	
Factory	I2C0_S	---	Memory	0x40066003	1	readWrite	strong	
Factory	I2C0_D	---	Memory	0x40066004	1	readWrite	strong	
Factory	I2C0_C2	---	Memory	0x40066005	1	readWrite	strong	
Factory	I2C0_FLT	---	Memory	0x40066006	1	readWrite	strong	
Factory	I2C0_RA	---	Memory	0x40066007	1	readWrite	strong	
Factory	I2C0_SMB	---	Memory	0x40066008	1	readWrite	strong	
Factory	I2C0_A2	---	Memory	0x40066009	1	readWrite	strong	
Factory	I2C0_SLTH	---	Memory	0x4006600a	1	readWrite	strong	
Factory	I2C0_SLTL	---	Memory	0x4006600b	1	readWrite	strong	
Factory	I2C1_A1	---	Memory	0x40067000	1	readWrite	strong	
Factory	I2C1_F	---	Memory	0x40067001	1	readWrite	strong	
Factory	I2C1_C1	---	Memory	0x40067002	1	readWrite	strong	
Factory	I2C1_S	---	Memory	0x40067003	1	readWrite	strong	
Factory	I2C1_D	---	Memory	0x40067004	1	readWrite	strong	
Factory	I2C1_C2	---	Memory	0x40067005	1	readWrite	strong	
Factory	I2C1_FLT	---	Memory	0x40067006	1	readWrite	strong	
Factory	I2C1_RA	---	Memory	0x40067007	1	readWrite	strong	
Factory	I2C1_SMB	---	Memory	0x40067008	1	readWrite	strong	
Factory	I2C1_A2	---	Memory	0x40067009	1	readWrite	strong	
Factory	I2C1_SLTH	---	Memory	0x4006700a	1	readWrite	strong	
Factory	I2C1_SLTL	---	Memory	0x4006700b	1	readWrite	strong	
Factory	UART0_BDH	---	Memory	0x4006a000	1	readWrite	strong	
Factory	UART0_BDL	---	Memory	0x4006a001	1	readWrite	strong	
Factory	UART0_C1	---	Memory	0x4006a002	1	readWrite	strong	
Factory	UART0_C2	---	Memory	0x4006a003	1	readWrite	strong	
Factory	UART0_S1	---	Memory	0x4006a004	1	readWrite	strong	
Factory	UART0_S2	---	Memory	0x4006a005	1	readWrite	strong	
Factory	UART0_C3	---	Memory	0x4006a006	1	readWrite	strong	
Factory	UART0_D	---	Memory	0x4006a007	1	readWrite	strong	
Factory	UART0_MA1	---	Memory	0x4006a008	1	readWrite	strong	
Factory	UART0_MA2	---	Memory	0x4006a009	1	readWrite	strong	
Factory	UART0_C4	---	Memory	0x4006a00a	1	readWrite	strong	
Factory	UART0_C5	---	Memory	0x4006a00b	1	readWrite	strong	
Factory	UART1_BDH	---	Memory	0x4006b000	1	readWrite	strong	
Factory	UART1_BDL	---	Memory	0x4006b001	1	readWrite	strong	
Factory	UART1_C1	---	Memory	0x4006b002	1	readWrite	strong	
Factory	UART1_C2	---	Memory	0x4006b003	1	readWrite	strong	
Factory	UART1_S1	---	Memory	0x4006b004	1	readOnly	strong	
Factory	UART1_S2	---	Memory	0x4006b005	1	readWrite	strong	
Factory	UART1_C3	---	Memory	0x4006b006	1	readWrite	strong	
Factory	UART1_D	---	Memory	0x4006b007	1	readWrite	strong	
Factory	UART1_C4	---	Memory	0x4006b008	1	readWrite	strong	
Factory	UART2_BDH	---	Memory	0x4006c000	1	readWrite	strong	
Factory	UART2_BDL	---	Memory	0x4006c001	1	readWrite	strong	
Factory	UART2_C1	---	Memory	0x4006c002	1	readWrite	strong	
Factory	UART2_C2	---	Memory	0x4006c003	1	readWrite	strong	
Factory	UART2_S1	---	Memory	0x4006c004	1	readOnly	strong	
Factory	UART2_S2	---	Memory	0x4006c005	1	readWrite	strong	
Factory	UART2_C3	---	Memory	0x4006c006	1	readWrite	strong	
Factory	UART2_D	---	Memory	0x4006c007	1	readWrite	strong	
Factory	UART2_C4	---	Memory	0x4006c008	1	readWrite	strong	
Factory	USB0_PERID	---	Memory	0x40072000	1	readOnly	strong	
Factory	USB0_IDCOMP	---	Memory	0x40072004	1	readOnly	strong	
Factory	USB0_REV	---	Memory	0x40072008	1	readOnly	strong	
Factory	USB0_ADDINFO	---	Memory	0x4007200c	1	readOnly	strong	
Factory	USB0_OTGISTAT	---	Memory	0x40072010	1	readWrite	strong	
Factory	USB0_OTGICR	---	Memory	0x40072014	1	readWrite	strong	
Factory	USB0_OTGSTAT	---	Memory	0x40072018	1	readWrite	strong	
Factory	USB0_OTGCTL	---	Memory	0x4007201c	1	readWrite	strong	
Factory	USB0_ISTAT	---	Memory	0x40072080	1	readWrite	strong	
Factory	USB0_INTEN	---	Memory	0x40072084	1	readWrite	strong	
Factory	USB0_ERRSTAT	---	Memory	0x40072088	1	readWrite	strong	
Factory	USB0_ERREN	---	Memory	0x4007208c	1	readWrite	strong	
Factory	USB0_STAT	---	Memory	0x40072090	1	readOnly	strong	
Factory	USB0_CTL	---	Memory	0x40072094	1	readWrite	strong	
Factory	USB0_ADDR	---	Memory	0x40072098	1	readWrite	strong	
Factory	USB0_BDTPAGE1	---	Memory	0x4007209c	1	readWrite	strong	
Factory	USB0_FRMNUML	---	Memory	0x400720a0	1	readWrite	strong	
Factory	USB0_FRMNUMH	---	Memory	0x400720a4	1	readWrite	strong	
Factory	USB0_TOKEN	---	Memory	0x400720a8	1	readWrite	strong	
Factory	USB0_SOFTHLD	---	Memory	0x400720ac	1	readWrite	strong	
Factory	USB0_BDTPAGE2	---	Memory	0x400720b0	1	readWrite	strong	
Factory	USB0_BDTPAGE3	---	Memory	0x400720b4	1	readWrite	strong	
Factory	USB0_ENDPT0	---	Memory	0x400720c0	1	readWrite	strong	
Factory	USB0_ENDPT1	---	Memory	0x400720c4	1	readWrite	strong	
Factory	USB0_ENDPT2	---	Memory	0x400720c8	1	readWrite	strong	
Factory	USB0_ENDPT3	---	Memory	0x400720cc	1	readWrite	strong	
Factory	USB0_ENDPT4	---	Memory	0x400720d0	1	readWrite	strong	
Factory	USB0_ENDPT5	---	Memory	0x400720d4	1	readWrite	strong	
Factory	USB0_ENDPT6	---	Memory	0x400720d8	1	readWrite	strong	
Factory	USB0_ENDPT7	---	Memory	0x400720dc	1	readWrite	strong	
Factory	USB0_ENDPT8	---	Memory	0x400720e0	1	readWrite	strong	
Factory	USB0_ENDPT9	---	Memory	0x400720e4	1	readWrite	strong	
Factory	USB0_ENDPT10	---	Memory	0x400720e8	1	readWrite	strong	
Factory	USB0_ENDPT11	---	Memory	0x400720ec	1	readWrite	strong	
Factory	USB0_ENDPT12	---	Memory	0x400720f0	1	readWrite	strong	
Factory	USB0_ENDPT13	---	Memory	0x400720f4	1	readWrite	strong	
Factory	USB0_ENDPT14	---	Memory	0x400720f8	1	readWrite	strong	
Factory	USB0_ENDPT15	---	Memory	0x400720fc	1	readWrite	strong	
Factory	USB0_USBCTRL	---	Memory	0x40072100	1	readWrite	strong	
Factory	USB0_OBSERVE	---	Memory	0x40072104	1	readOnly	strong	
Factory	USB0_CONTROL	---	Memory	0x40072108	1	readWrite	strong	
Factory	USB0_USBTRC0	---	Memory	0x4007210c	1	readWrite	strong	
Factory	USB0_USBFRMADJUST	---	Memory	0x40072114	1	readWrite	strong	
Factory	CMP0_CR0	---	Memory	0x40073000	1	readWrite	strong	
Factory	CMP0_CR1	---	Memory	0x40073001	1	readWrite	strong	
Factory	CMP0_FPR	---	Memory	0x40073002	1	readWrite	strong	
Factory	CMP0_SCR	---	Memory	0x40073003	1	readWrite	strong	
Factory	CMP0_DACCR	---	Memory	0x40073004	1	readWrite	strong	
Factory	CMP0_MUXCR	---	Memory	0x40073005	1	readWrite	strong	
Factory	SPI0_S	---	Memory	0x40076000	1	readOnly	strong	
Factory	SPI0_BR	---	Memory	0x40076001	1	readWrite	strong	
Factory	SPI0_C2	---	Memory	0x40076002	1	readWrite	strong	
Factory	SPI0_C1	---	Memory	0x40076003	1	readWrite	strong	
Factory	SPI0_ML	---	Memory	0x40076004	1	readWrite	strong	
Factory	SPI0_MH	---	Memory	0x40076005	1	readWrite	strong	
Factory	SPI0_DL	---	Memory	0x40076006	1	readWrite	strong	
Factory	SPI0_DH	---	Memory	0x40076007	1	readWrite	strong	
Factory	SPI1_S	---	Memory	0x40077000	1	readOnly	strong	
Factory	SPI1_BR	---	Memory	0x40077001	1	readWrite	strong	
Factory	SPI1_C2	---	Memory	0x40077002	1	readWrite	strong	
Factory	SPI1_C1	---	Memory	0x40077003	1	readWrite	strong	
Factory	SPI1_ML	---	Memory	0x40077004	1	readWrite	strong	
Factory	SPI1_MH	---	Memory	0x40077005	1	readWrite	strong	
Factory	SPI1_DL	---	Memory	0x40077006	1	readWrite	strong	
Factory	SPI1_DH	---	Memory	0x40077007	1	readWrite	strong	
Factory	SPI1_CI	---	Memory	0x4007700a	1	readWrite	strong	
Factory	SPI1_C3	---	Memory	0x4007700b	1	readWrite	strong	
Factory	LLWU_PE1	0x0	Memory	0x4007c000	1	readWrite	strong	
Factory	LLWU_PE2	0x0	Memory	0x4007c001	1	readWrite	strong	
Factory	LLWU_PE3	0x0	Memory	0x4007c002	1	readWrite	strong	
Factory	LLWU_PE4	0x0	Memory	0x4007c003	1	readWrite	strong	
Factory	LLWU_ME	0x0	Memory	0x4007c004	1	readWrite	strong	
Factory	LLWU_F1	0x0	Memory	0x4007c005	1	readWrite	strong	
Factory	LLWU_F2	0x0	Memory	0x4007c006	1	readWrite	strong	
Factory	LLWU_F3	0x0	Memory	0x4007c007	1	readOnly	strong	
Factory	LLWU_FILT1	0x0	Memory	0x4007c008	1	readWrite	strong	
Factory	LLWU_FILT2	0x0	Memory	0x4007c009	1	readWrite	strong	
Factory	PMC_LVDSC1	0x10	Memory	0x4007d000	1	readWrite	strong	
Factory	PMC_LVDSC2	0x0	Memory	0x4007d001	1	readWrite	strong	
Factory	PMC_REGSC	0x4	Memory	0x4007d002	1	readWrite	strong	
Factory	SMC_PMPROT	0x0	Memory	0x4007e000	1	readWrite	strong	
Factory	SMC_PMCTRL	0x0	Memory	0x4007e001	1	readWrite	strong	
Factory	SMC_STOPCTRL	0x3	Memory	0x4007e002	1	readWrite	strong	
Factory	SMC_PMSTAT	0x1	Memory	0x4007e003	1	readOnly	strong	
Factory	RCM_SRS0	0x0	Memory	0x4007f000	1	readOnly	strong	
Factory	RCM_SRS1	0x4	Memory	0x4007f001	1	readOnly	strong	
Factory	RCM_RPFC	0x0	Memory	0x4007f004	1	readWrite	strong	
Factory	RCM_RPFW	0x0	Memory	0x4007f005	1	readWrite	strong	
Factory	GPIOA_PDOR	0x0	Memory	0x400ff000	4	readWrite	strong	
Factory	GPIOA_PSOR	0x0	Memory	0x400ff004	4	writeOnly	strong	
Factory	GPIOA_PCOR	0x0	Memory	0x400ff008	4	writeOnly	strong	
Factory	GPIOA_PTOR	0x0	Memory	0x400ff00c	4	writeOnly	strong	
Factory	GPIOA_PDIR	0x0	Memory	0x400ff010	4	readOnly	strong	
Factory	GPIOA_PDDR	0x0	Memory	0x400ff014	4	readWrite	strong	
Factory	GPIOB_PDOR	0x0	Memory	0x400ff040	4	readWrite	strong	
Factory	GPIOB_PSOR	0x0	Memory	0x400ff044	4	writeOnly	strong	
Factory	GPIOB_PCOR	0x0	Memory	0x400ff048	4	writeOnly	strong	
Factory	GPIOB_PTOR	0x0	Memory	0x400ff04c	4	writeOnly	strong	
Factory	GPIOB_PDIR	0x0	Memory	0x400ff050	4	readOnly	strong	
Factory	GPIOB_PDDR	0x0	Memory	0x400ff054	4	readWrite	strong	
Factory	GPIOC_PDOR	0x0	Memory	0x400ff080	4	readWrite	strong	
Factory	GPIOC_PSOR	0x0	Memory	0x400ff084	4	writeOnly	strong	
Factory	GPIOC_PCOR	0x0	Memory	0x400ff088	4	writeOnly	strong	
Factory	GPIOC_PTOR	0x0	Memory	0x400ff08c	4	writeOnly	strong	
Factory	GPIOC_PDIR	0x0	Memory	0x400ff090	4	readOnly	strong	
Factory	GPIOC_PDDR	0x0	Memory	0x400ff094	4	readWrite	strong	
Factory	GPIOD_PDOR	0x0	Memory	0x400ff0c0	4	readWrite	strong	
Factory	GPIOD_PSOR	0x0	Memory	0x400ff0c4	4	writeOnly	strong	
Factory	GPIOD_PCOR	0x0	Memory	0x400ff0c8	4	writeOnly	strong	
Factory	GPIOD_PTOR	0x0	Memory	0x400ff0cc	4	writeOnly	strong	
Factory	GPIOD_PDIR	0x0	Memory	0x400ff0d0	4	readOnly	strong	
Factory	GPIOD_PDDR	0x0	Memory	0x400ff0d4	4	readWrite	strong	
Factory	GPIOE_PDOR	0x20000000	Memory	0x400ff100	4	readWrite	strong	
Factory	GPIOE_PSOR	0x0	Memory	0x400ff104	4	writeOnly	strong	
Factory	GPIOE_PCOR	0x0	Memory	0x400ff108	4	writeOnly	strong	
Factory	GPIOE_PTOR	0x0	Memory	0x400ff10c	4	writeOnly	strong	
Factory	GPIOE_PDIR	0x20000000	Memory	0x400ff110	4	readOnly	strong	
Factory	GPIOE_PDDR	0x20000000	Memory	0x400ff114	4	readWrite	strong	
Factory	MTB_POSITION	0x5ffc	Memory	0xf0000000	4	readWrite	strong	
Factory	MTB_MASTER	0x9f	Memory	0xf0000004	4	readWrite	strong	
Factory	MTB_FLOW	0x7ff8	Memory	0xf0000008	4	readWrite	strong	
Factory	MTB_BASE	0x1fffe000	Memory	0xf000000c	4	readOnly	strong	
Factory	MTB_MODECTRL	0x0	Memory	0xf0000f00	4	readOnly	strong	
Factory	MTB_TAGSET	0x0	Memory	0xf0000fa0	4	readOnly	strong	
Factory	MTB_TAGCLEAR	0x0	Memory	0xf0000fa4	4	readOnly	strong	
Factory	MTB_LOCKACCESS	0x0	Memory	0xf0000fb0	4	readOnly	strong	
Factory	MTB_LOCKSTAT	0x0	Memory	0xf0000fb4	4	readOnly	strong	
Factory	MTB_AUTHSTAT	0xf	Memory	0xf0000fb8	4	readOnly	strong	
Factory	MTB_DEVICEARCH	0x47700a31	Memory	0xf0000fbc	4	readOnly	strong	
Factory	MTB_DEVICECFG	0x0	Memory	0xf0000fc8	4	readOnly	strong	
Factory	MTB_DEVICETYPID	0x31	Memory	0xf0000fcc	4	readOnly	strong	
Factory	MTB_PERIPHID4	0x4	Memory	0xf0000fd0	4	readOnly	strong	
Factory	MTB_PERIPHID5	0x0	Memory	0xf0000fd4	4	readOnly	strong	
Factory	MTB_PERIPHID6	0x0	Memory	0xf0000fd8	4	readOnly	strong	
Factory	MTB_PERIPHID7	0x0	Memory	0xf0000fdc	4	readOnly	strong	
Factory	MTB_PERIPHID0	0x32	Memory	0xf0000fe0	4	readOnly	strong	
Factory	MTB_PERIPHID1	0xb9	Memory	0xf0000fe4	4	readOnly	strong	
Factory	MTB_PERIPHID2	0xb	Memory	0xf0000fe8	4	readOnly	strong	
Factory	MTB_PERIPHID3	0x0	Memory	0xf0000fec	4	readOnly	strong	
Factory	MTB_COMPID0	0xd	Memory	0xf0000ff0	4	readOnly	strong	
Factory	MTB_COMPID1	0x90	Memory	0xf0000ff4	4	readOnly	strong	
Factory	MTB_COMPID2	0x5	Memory	0xf0000ff8	4	readOnly	strong	
Factory	MTB_COMPID3	0xb1	Memory	0xf0000ffc	4	readOnly	strong	
Factory	MTBDWT_CTRL	0x2f000000	Memory	0xf0001000	4	readOnly	strong	
Factory	MTBDWT_COMP0	0x0	Memory	0xf0001020	4	readWrite	strong	
Factory	MTBDWT_COMP1	0x0	Memory	0xf0001030	4	readWrite	strong	
Factory	MTBDWT_MASK0	0x0	Memory	0xf0001024	4	readWrite	strong	
Factory	MTBDWT_MASK1	0x0	Memory	0xf0001034	4	readWrite	strong	
Factory	MTBDWT_FCT0	0x0	Memory	0xf0001028	4	readWrite	strong	
Factory	MTBDWT_FCT1	0x0	Memory	0xf0001038	4	readWrite	strong	
Factory	MTBDWT_TBCTRL	0x20000000	Memory	0xf0001200	4	readWrite	strong	
Factory	MTBDWT_DEVICECFG	0x0	Memory	0xf0001fc8	4	readOnly	strong	
Factory	MTBDWT_DEVICETYPID	0x4	Memory	0xf0001fcc	4	readOnly	strong	
Factory	MTBDWT_PERIPHID4	0x0	Memory	0xf0001fd0	4	readOnly	strong	
Factory	MTBDWT_PERIPHID5	0x0	Memory	0xf0001fd4	4	readOnly	strong	
Factory	MTBDWT_PERIPHID6	0x0	Memory	0xf0001fd8	4	readOnly	strong	
Factory	MTBDWT_PERIPHID7	0x0	Memory	0xf0001fdc	4	readOnly	strong	
Factory	MTBDWT_PERIPHID0	0x0	Memory	0xf0001fe0	4	readOnly	strong	
Factory	MTBDWT_PERIPHID1	0xe0	Memory	0xf0001fe4	4	readOnly	strong	
Factory	MTBDWT_PERIPHID2	0x8	Memory	0xf0001fe8	4	readOnly	strong	
Factory	MTBDWT_PERIPHID3	0x0	Memory	0xf0001fec	4	readOnly	strong	
Factory	MTBDWT_COMPID0	0xd	Memory	0xf0001ff0	4	readOnly	strong	
Factory	MTBDWT_COMPID1	0x90	Memory	0xf0001ff4	4	readOnly	strong	
Factory	MTBDWT_COMPID2	0x5	Memory	0xf0001ff8	4	readOnly	strong	
Factory	MTBDWT_COMPID3	0xb1	Memory	0xf0001ffc	4	readOnly	strong	
Factory	ROM_ENTRY0	0xffffe003	Memory	0xf0002000	4	readOnly	strong	
Factory	ROM_ENTRY1	0xfffff003	Memory	0xf0002004	4	readOnly	strong	
Factory	ROM_ENTRY2	0xf00fd003	Memory	0xf0002008	4	readOnly	strong	
Factory	ROM_TABLEMARK	0x0	Memory	0xf000200c	4	readOnly	strong	
Factory	ROM_SYSACCESS	0x1	Memory	0xf0002fcc	4	readOnly	strong	
Factory	ROM_PERIPHID4	0x0	Memory	0xf0002fd0	4	readOnly	strong	
Factory	ROM_PERIPHID5	0x0	Memory	0xf0002fd4	4	readOnly	strong	
